original ,teamID,searchID,School Name,search_term
98-134,98,134,Georgia,@ugabasketball OR godawgs OR committotheg OR raisetheflag OR uga
97-127,97,127,Georgetown,@hoyahoopclub OR hoyas OR gohoyas OR georgetown
96-121,96,121,George Washington,@gw_mbb OR raisehighÿ OR dunkcapital OR monumentalhomecourtadvantage
90-115,90,115,Florida State,@fsuhoops OR noles OR gonoles
85-110,85,110,Florida,@gatorsmbk OR gators OR gogators OR gatorstrong
82-104,82,104,Evansville,@ueathletics_mbb OR ue OR acesaces
73-99,73,99,Duke,@dukeblueplanet OR duke OR goduke OR herecomesduke OR dukenation OR dukebasketball OR bluedevils
7-16,7,16,Albany,@ualbany_mbb OR gogreatdanes OR ualbany
65-91,65,91,Dayton,@daytonmbb OR trueteam OR goflyers
64-87,64,87,Davidson,@davidsonmbb OR davidson
62-83,62,83,Creighton,@bluejaymbb OR gojays OR creighton
59-78,59,78,Connecticut,@uconnmbb OR uconnnation OR bleedblue OR uconn
56-72,56,72,Colorado,@cubuffsmbb OR gobuffs OR rolltad OR cubuffs
50-66,50,66,Cincinnati,@gobearcatsmbb OR bearcats OR gobearcats
48-62,48,62,Chattanooga,@gomocsmbb OR gomocs
4-11,4,11,Alabama,@alabamahoops OR rolltide OR buckleup OR bethechaos
39-58,39,58,California,@calmensbball OR gobears OR togetherweattack OR calfamily
353-523,353,523,Little Rock,@littlerockmbb OR littlerocksteam
350-519,350,519,Yale,@yale_basketball OR boolaboola OR gobulldogs
35-52,35,52,Butler,@butlermbb OR butler OR godawgs
349-514,349,514,Xavier,@xaviermbb OR letsgox OR team94
344-509,344,509,Wisconsin,@badgermbb OR badgers OR makeembelieve
343-504,343,504,Winthrop,@winthrop_mbb OR rockthehill OR whynotus OR w1nthrop OR bigsouthmbb
342-498,342,498,William & Mary,@tribemenshoops OR risingtribe
341-494,341,494,Wichita State,@goshockers OR shockernation OR watchus OR shockers
336-488,336,488,West Virginia,@wvuhoops OR hailwv OR pressvirginia
333-483,333,483,Washington,@uw_mbb OR uwhuskies OR youmewe
331-478,331,478,Wagner,@wagner_mbb OR chaosonthehill OR wagner
33-47,33,47,Bucknell,@bucknellhoops OR gobison OR bucknell OR bisonfamily
328-473,328,473,Virginia,@uvamenshoops OR uva OR gohoos OR wahoowa OR uvahoops OR virginiabasketball
327-465,327,465,Villanova,@novambb OR nova OR novanation OR ilovevillanova OR villanova
325-458,325,458,VCU,@vcuramnation OR vcu OR letsgovcu
324-453,324,453,Vanderbilt,@vandymbb OR vandy OR vanderbilt
323-448,323,448,Valparaiso,@valpobasketball OR govalpo OR valpobasketball OR valpogameday
320-442,320,442,Utah,@runnin_utes OR goutes OR gamedayu
314-437,314,437,UCLA,@uclambb OR gobruins OR ucla
312-432,312,432,UC Irvine,@ucimbb OR togetherwezot OR defendthebren OR ripem
310-426,310,426,UAB,@uab_mbb OR goblazers OR blockingham OR uabbasketball
309-420,309,420,Tulsa,@tumbasketball OR tulsarising OR tulsambb OR reigncane
30-41,30,41,Brigham Young,@byucougars OR gocougs OR byumvb OR byuhoops
3-5,3,5,Akron,@zipsmbb OR zipsgameday OR gozips OR zipsunite
299-415,299,415,Texas Tech,@texastechmbb OR wreckem
297-411,297,411,Texas Southern,@tsumbb OR tsumbb OR belegendary
295-406,295,406,Texas A&M,@aggiemenshoops OR 12thman OR bethe12thman
294-402,294,402,Texas,@texasmbb OR hookem
290-398,290,398,Temple,@tumbbhoops OR tumbb OR wethet
288-393,288,393,Syracuse,@syrbasketball OR orangenation OR cuse OR syracuse OR syracusebasketball
287-386,287,386,Stony Brook,@stonybrookmbb OR seawolves OR goseawolves
285-381,285,381,Stephen F. Austin,@sfa_mbb OR axeem OR lumberjacklegends
284-377,284,377,Stanford,@stanfordbball OR gostanford
282-373,282,373,St. Mary's,@saintmaryshoops OR gaels OR teamua
278-368,278,368,St. Bonaventure,@bonniesmbb OR bonnies OR bonastrong
274-363,274,363,Southern California,@usc_hoops OR ittakesateam OR usc
269-358,269,358,South Dakota State,@gojacksmbb OR gojacks OR marchtogether
265-354,265,354,South Carolina,@gamecockmbb OR gamecocks
263-350,263,350,SMU,@smubasketball OR ponyup OR texastough
260-345,260,345,Seton Hall,@setonhallmbb OR hallinÿ OR hallball
