ID,SCHOOL,Search,,
133,Kansas,@KUHoops OR kubball OR payheed,,
199,North Carolina,@UNC_Basketball OR uncbball OR tarheels,,
328,Virginia,@UVAMensHoops OR uva OR gohoos OR wahoowa OR uvahoops OR virginiabasketball,,
224,Oregon,@OregonMBB OR goducks,,
169,Michigan State,@MSU_Basketball OR spartans OR SpartansWill,,
219,Oklahoma,@OU_MBBall OR sooners OR boomer OR oklahoma,,
327,Villanova,@NovaMBB OR nova OR novanation OR ilovevillanova OR villanova,,
349,Xavier,@XavierMBB OR LetsGoX OR team94,,
336,West Virginia,@WVUhoops OR hailwv OR pressvirginia,,
166,Miami,@CanesHoops OR canes OR caneshoops,,
320,Utah,@Runnin_Utes OR GoUtes OR GameDayU,,
295,Texas A&M,@AggieMensHoops OR 12thMan OR bethe12thman,,
73,Duke,@dukeblueplanet OR duke OR goduke OR HereComesDUKE OR dukenation OR dukebasketball OR bluedevils,,
39,California,@CalMensBBall OR gobears OR TogetherWeAttack OR calfamily,,
137,Kentucky,@KentuckyMBB OR bbn OR kentuckybasketball OR bigbluenation OR gobigblue,,
126,Iowa State,@CycloneMBB OR cyclones OR CyclONEnation,,
122,Indiana,@IndianaMBB OR iubb OR goiu OR HoosierNation,,
237,Purdue,@BoilerBall OR BoilerUp OR purdue OR boilermakers,,
159,Maryland,@TerrapinHoops OR feartheturtle OR terps OR terrapins,,
21,Baylor,@BaylorMBB OR Sicem,,
294,Texas,@TexasMBB OR hookem,,
215,Notre Dame,@NDmbb OR notredame OR NotDoneYet,,
11,Arizona,@APlayersProgram OR beardown OR APlayersProgram,,
260,Seton Hall,@SetonHallMBB OR HALLin  OR hallball,,
344,Wisconsin,@BadgerMBB OR badgers OR MakeEmBelieve,,
65,Dayton,@DaytonMBB OR trueteam OR GoFlyers,,
125,Iowa,@IowaHoops OR hawkeyes,,
225,Oregon State,@OregonStateMBB OR gobeavs,,
299,Texas Tech,@TexasTechMBB OR WreckEm,,
56,Colorado,@CUBuffsMBB OR gobuffs OR rolltad OR cubuffs,,
1000,USC,@USC_Hoops OR ittakesateam OR fighton,,
248,Saint Joseph's,@SJUHawks_MBB OR THWND,,
236,Providence,@pcfriarshoops OR pcbb OR friars OR gofriars,,
35,Butler,@ButlerMBB OR butler OR GoDawgs,,
50,Cincinnati,@GoBearcatsMBB OR bearcats OR gobearcats,,
59,Connecticut,@UConnMBB OR UConnNation OR bleedblue OR uconn,,
230,Pittsburgh,@HailToPittHoops OR hailtopitt OR LetsGoPitt OR H2P,,
290,Temple,@TUMBBHoops OR tumbb OR wethet,,
288,Syracuse,@syrbasketball OR orangenation OR cuse OR syracuse OR syracusebasketball,,
325,VCU,@VCURamNation OR vcu OR LetsGoVCU,,
324,Vanderbilt,@VandyMBB OR vandy OR vanderbilt,,
168,Michigan,@umichbball OR goblue,,
341,Wichita State,@GoShockers OR shockernation OR watchus OR shockers,,
102,Gonzaga,@ZagMBB OR gozags OR GonzagaMadness OR unitedwezag,,
309,Tulsa,@TUMBasketball OR TulsaRISING OR TulsaMBB OR reigncane,,
210,Northern Iowa,@UNImbb OR UNIFight,,
48,Chattanooga,@GoMocsMBB OR GoMocs,,
353,Little Rock,@LittleRockMBB OR LittleRocksTeam,,
350,Yale,@Yale_Basketball OR boolaboola OR GoBulldogs,,
269,South Dakota State,@GoJacksMBB OR gojacks OR MarchTogether,,
1001,UNC-Wilmington,@uncwmenshoops OR rundefendwin,,
109,Hawaii,@HawaiiMBB OR HawaiiMBB OR gobows,,
287,Stony Brook,@StonyBrookMBB OR Seawolves OR goseawolves,,
1002,Iona,@IonaGaelsMBB OR gaelnation,,
1003,Green Bay,@gbphoenixmbb OR rp40,,
1004,Buffalo,@UBmenshoops OR ubbulls,,
1005,Fresno State,@FresnoStateMBB OR godogs,,
285,Stephen F. Austin,@SFA_MBB OR axeem OR lumberjacklegends,,
170,Middle Tennessee,@MT_MBB OR TrueFamily OR blueraiders,,
1006,CSU Bakersfield,@CSUB_MBB OR allrunners,,
1007,UNC-Asheville,@ashevilledogs,,
335,Weber State,@WeberStateMBB OR weareweber,,
1008,Austin Peay,@AustinPeayMBB OR letsgopeay,,
106,Hampton,@Hampton_MBB OR hampton,,
1009,FGCU,@FGCU_MBB OR dunkcity,,
1010,Fairleigh Dickinson,@FDUKnights,,
1011,Southern,@JaguarHoops OR subasketball OR teamsu,,
1012,Holy Cross,@HCrossMBB OR risetogether,,
