hex,98-134,97-127,96-121,90-115,85-110,82-104,73-99,7-16,65-91,64-87,62-83,59-78,56-72,50-66,48-62,4-11,39-58,353-523,350-519,35-52,349-514,344-509,343-504,342-498,341-494,336-488,333-483,331-478,33-47,328-473,327-465,325-458,324-453,323-448,320-442,314-437,312-432,310-426,309-420,30-41,3-5,299-415,297-411,295-406,294-402,290-398,288-393,287-386,285-381,284-377,282-373,278-368,274-363,269-358,265-354,263-350,260-345,253-340,252-335,248-332,237-328,236-322,235-316,230-311,225-306,224-303,222-299,22-35,219-293,218-287,217-283,215-279,21-31,204-274,199-267,194-262,187-257,177-252,176-247,170-243,169-237,168-233,166-229,159-224,153-218,149-212,137-207,136-200,134-195,133-189,127-184,126-177,122-167,12-27,111-161,11-21,109-156,106-151,102-146,101-140,random,total
ID1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID100,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1,2,0,0,28,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167
ID101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ID102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID106,414,29,8,2268,3347,8,444,4,47,44,24,540,8,55,25,907,55,0,11,332,26,231,52,1,28,9,0,0,25,91,527,23,78,1,0,134,1,6,4,24,3,13,1,70,85,7,328,2,1,7,7,5,162,10,226,13,10,6,0,4,66,15,156,42,11,109,201,1,279,1345,61,329,19,8,83,7,743,8,1,19,193,850,468,69,391,76,945,13,62,123,0,76,197,16,6,232,1,19,11,22,176,54396
ID107,382,18,11,1490,2378,0,411,7,20,19,10,277,21,27,188,693,146,0,99,299,7,190,21,0,31,54,1,1,6,64,53,29,49,5,3,66,2,8,0,55,23,12,4,95,93,27,181,4,3,8,6,2,80,3,207,11,11,3,0,6,74,13,230,72,7,193,186,2,162,588,70,154,51,13,73,6,477,2,9,28,104,569,410,17,279,83,476,15,163,77,0,33,178,15,6,190,0,27,8,16,186,38880
